NOMBRE,GENEROS,bytesfiles,sampleratefiles,totalsamplesfiles,durationfiles
Juntos.mp3,Son Cubano,3239853,44100,7315200,165.9
Jura.mp3,Salsa,6514137,44100,11860989,269
Jurame - Bobby Valentin.mp3,Guaracha,4316146,44100,11733119,266.1
Juramento - Oscar D´leon.mp3,Salsa,3936683,44100,8550143,193.9
Juramento - Rey Caney.mp3,Bolero Son,4350975,44100,9463679,214.6
Jure Que No Iva A Llorar Por Ti.mp3,Salsa,4387517,32000,8656128,270.5
Juro De Verdad.mp3,Guajira,4925403,44100,7664256,173.8
Juro Que Fue Verdad.mp3,Salsa,2874436,44100,7711489,174.9
Just The Way You Are.mp3,Salsa,4695300,44100,12741689,288.9
Justo Ahora - Bobby Valentin.mp3,Salsa,4011459,44100,10893312,247
JUSTO AHORA.mp3,Salsa,3971072,44100,10939391,248.1
Juventud - Hector Lavoe.mp3,Bolero Son,2145145,44100,5900544,133.8
Juventud Flaca Y Loca.mp3,Merengue,3327855,44100,8953345,203
Juventud Siglo Xx.mp3,Salsa,10239636,48000,12226176,254.7
Kamaguey.mp3,Guaracha,4478976,44100,12343681,279.9
Kaquiry Kaquiry.mp3,Guaracha,4928684,44100,13338334,302.5
Keep The Faith - Bobby Valentin.mp3,Guajira,3254956,44100,8808192,199.7
Ki Ki Ri Ki - Bobby Valentin.mp3,Salsa,3194349,44100,8641152,195.9
Ki Ki Ri Ki.mp3,Salsa,7965610,44100,8780543,199.1
Kika Poo Joy Juice.mp3,Salsa,4767059,44100,12895488,292.4
Kikiriki cantaba el gallo.mp3,Pachanga,3818520,44100,10456705,237.1
Kikiriwi.mp3,Salsa,4979431,44100,9040893,205
Killing Me Softly Whith His Song.mp3,Salsa,14424064,44100,15901054,360.6
Kimbo Kimbisa.mp3,Guaracha,3102658,44100,8388865,190.2
Kindimbia - Mongo Y Justo.mp3,Pachanga,5033307,44100,10968193,248.7
King Fu Y Karate.mp3,Salsa,10567699,44100,23167174,525.3
Kuku-Cha Ku-Cha _ By Gu@chita.mp3,Pachanga,11238660,44100,12312581,279.2
Kum Kum Kum - -Daniel Santos.mp3,Guajira,3879734,44100,8424575,191
Kum Kum Kum.mp3,Guajira,11820258,44100,12912768,292.8
Kun Kun Kun - Bienvenido Granda Con Sm.mp3,Salsa,2483913,44100,6842881,155.2
Kung-Fu Karate (En Vivo).mp3,Salsa,8433607,44100,23076279,523.3
La  Carcel.mp3,Salsa,7985792,44100,14565113,330.3
La  Floresta +++++++++.mp3,Guajira,5443169,44100,7498368,170
La  Sombra.mp3,Salsa,3173031,44100,24075761,545.9
La 33.mp3,Salsa,5544284,44100,15024385,340.7
LA ABOLICION.mp3,Salsa,5224448,44100,14397696,326.5
La Agarro Bajando - Gilberto Santa Rosa.mp3,Salsa,4178482,44100,11354113,257.5
La Agarro Bajando.mp3,Salsa,10258136,44100,11297891,256.2
La Agonia - Hnos Lebrón.mp3,Salsa,6228668,44100,13603968,308.5
La Agonía(Carbecmen).mp3,Guaracha,4942975,44100,13420799,304.3
La Agonia.mp3,Son Montuno,12313219,48000,14714496,306.6
